what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393707968130
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.select.lineStart",1393707979792
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.select.lineStart",1393707980423
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1393707981097
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393707981877
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393707997931
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393708029636
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393708047013
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1393708051910
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1393708052973
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393708055294
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393708138736
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393708162060
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393708162900
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393708163363
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393708163728
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393708164227
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393708165386
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393708166104
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393708245755
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393708260001
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393708260415
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393708261113
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393708268981
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393708299130
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393708366538
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393708367258
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393708389210
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1393708391232
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1393708399353
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1393708402749
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1393708419537
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.select.wordNext",1393708430736
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.select.wordNext",1393708430864
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.select.wordNext",1393708431047
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.select.wordNext",1393708431223
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.cut",1393708432624
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1393708436747
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.lineStart",1393708439263
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.jdt.ui.edit.text.java.correction.assist.proposals",1393708439572
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.lineEnd",1393708441343
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.wordNext",1393708443951
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.wordNext",1393708444151
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.wordNext",1393708444351
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.select.wordNext",1393708445328
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.select.wordNext",1393708445575
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.select.wordNext",1393708445759
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.select.wordNext",1393708445943
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.select.wordNext",1393708446111
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.select.wordNext",1393708446279
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.select.wordPrevious",1393708446639
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.cut",1393708447657
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1393708449734
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.lineStart",1393708450928
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.lineEnd",1393708453120
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1393708453692
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393708456190
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393708497339
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1393708500384
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1393708501788
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1393708501869
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1393708502626
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393708511746
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393708512656
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.select.wordPrevious",1393708516623
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1393708517613
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393708520444
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393708536337
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393708540574
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393708574142
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393708575586
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393708576944
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393708578063
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393708581874
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393708583515
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393708587185
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393708587490
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393708588159
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393708588705
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393708589573
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393708590576
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393708591677
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.select.wordPrevious",1393708596799
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.select.wordNext",1393708600351
