what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.jst.ws.jaxws.utils,1.0.100.v201201031437,"org.eclipse.jst.ws.jaxws.utils",1393926229917
started,bundle,org.eclipse.ltk.core.refactoring,3.5.201.r372_v20111101-0700,"org.eclipse.ltk.core.refactoring",1393926229917
started,bundle,org.eclipse.ltk.ui.refactoring,3.6.0.v20110928-1453,"org.eclipse.ltk.ui.refactoring",1393926229918
started,bundle,org.eclipse.mylyn.bugzilla.core,3.6.5.v20120123-0100,"org.eclipse.mylyn.bugzilla.core",1393926229918
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.bugzilla.ui",1393926229919
started,bundle,org.eclipse.mylyn.commons.identity,0.8.0.v20110608-1400,"org.eclipse.mylyn.commons.identity",1393926229920
started,bundle,org.eclipse.mylyn.commons.net,3.6.0.v20110608-1400,"org.eclipse.mylyn.commons.net",1393926229920
started,bundle,org.eclipse.mylyn.commons.ui,3.6.1.v20110720-0100,"org.eclipse.mylyn.commons.ui",1393926229920
started,bundle,org.eclipse.mylyn.context.core,3.6.1.v20110720-0100,"org.eclipse.mylyn.context.core",1393926229921
started,bundle,org.eclipse.mylyn.context.ui,3.6.1.v20120112-0100,"org.eclipse.mylyn.context.ui",1393926229921
started,bundle,org.eclipse.mylyn.monitor.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.monitor.ui",1393926229922
started,bundle,org.eclipse.mylyn.tasks.ui,3.6.5.v20120215-0100,"org.eclipse.mylyn.tasks.ui",1393926229923
started,bundle,org.eclipse.mylyn.team.ui,3.6.1.v20110825-0100,"org.eclipse.mylyn.team.ui",1393926229924
started,bundle,org.eclipse.pde.launching,3.6.0.v20110506,"org.eclipse.pde.launching",1393926229924
started,bundle,org.eclipse.pde.ui,3.6.100.v20120103_r372,"org.eclipse.pde.ui",1393926229926
started,bundle,org.eclipse.search,3.7.0.v20110928-1504,"org.eclipse.search",1393926229927
started,bundle,org.eclipse.team.core,3.6.0.I20110525-0800,"org.eclipse.team.core",1393926229927
started,bundle,org.eclipse.team.cvs.core,3.3.400.I20110510-0800,"org.eclipse.team.cvs.core",1393926229928
started,bundle,org.eclipse.team.cvs.ui,3.3.401.v20120126-1227,"org.eclipse.team.cvs.ui",1393926229929
started,bundle,org.eclipse.team.ui,3.6.101.R37x_v20111109-0800,"org.eclipse.team.ui",1393926229930
started,bundle,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui",1393926229931
started,bundle,org.eclipse.ui.cheatsheets,3.4.100.v20110425,"org.eclipse.ui.cheatsheets",1393926229932
started,bundle,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console",1393926229932
started,bundle,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.editors",1393926229932
started,bundle,org.eclipse.ui.forms,3.5.101.v20111011-1919,"org.eclipse.ui.forms",1393926229933
started,bundle,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.ide",1393926229934
started,bundle,org.eclipse.ui.intro,3.4.100.v20110425,"org.eclipse.ui.intro",1393926229934
started,bundle,org.eclipse.ui.net,1.2.100.v20111208-1155,"org.eclipse.ui.net",1393926229934
started,bundle,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views",1393926229935
started,bundle,org.eclipse.ui.views.log,1.0.200.v20110404,"org.eclipse.ui.views.log",1393926229935
started,bundle,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"org.eclipse.ui.workbench",1393926229936
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.workbench.texteditor",1393926229937
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1393926229937
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1393926229938
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1393926229938
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.201.v201201101553,"org.eclipse.wst.common.project.facet.core",1393926229939
started,bundle,org.eclipse.wst.web,1.1.501.v201201190400,"org.eclipse.wst.web",1393926229940
os,sysinfo,,,"linux",1393926229942
arch,sysinfo,,,"x86_64",1393926229942
ws,sysinfo,,,"gtk",1393926229942
locale,sysinfo,,,"en_US",1393926229942
processors,sysinfo,,,"4",1393926229943
java.runtime.name,sysinfo,,,"OpenJDK Runtime Environment",1393926229943
java.runtime.version,sysinfo,,,"1.6.0_30-b30",1393926229943
java.specification.name,sysinfo,,,"Java Platform API Specification",1393926229943
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1393926229943
java.specification.version,sysinfo,,,"1.6",1393926229943
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1393926229943
java.version,sysinfo,,,"1.6.0_30",1393926229943
java.vm.info,sysinfo,,,"mixed mode",1393926229943
java.vm.name,sysinfo,,,"OpenJDK 64-Bit Server VM",1393926229943
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1393926229943
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1393926229943
java.vm.specification.version,sysinfo,,,"1.0",1393926229943
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1393926229943
java.vm.version,sysinfo,,,"23.25-b01",1393926229943
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393926230469
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393926231591
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393926233966
started,bundle,org.eclipse.jdt.junit,3.7.0.v20110928-1453,"org.eclipse.jdt.junit",1393926274038
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1393926274226
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393926275891
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393926276459
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393926277255
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393926282458
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1393926288295
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1393926297681
